Domain (6) x Act (5) x Attr (8) = 240 theoretical combinations
Domain                    Act          Attr         Possible   Mapped     Example
GENERAL_CONSULTATION      ANALYZE      BASIC        [Y]        [ - ]      -
GENERAL_CONSULTATION      ANALYZE      CHECKUP      [Y]        [MAPPED]   -
GENERAL_CONSULTATION      ANALYZE      VISIT        [Y]        [ - ]      -
GENERAL_CONSULTATION      ANALYZE      PREVENT      [Y]        [ - ]      -
GENERAL_CONSULTATION      ANALYZE      DIAGNOSE     [N]        [ - ]      -
GENERAL_CONSULTATION      ANALYZE      CAUTION      [Y]        [ - ]      -
CHITCHAT_OR_REJECT        ASK          CAUSE        [N]        [ - ]      -
CHITCHAT_OR_REJECT        ASK          SYMPTOM      [N]        [ - ]      -
CHITCHAT_OR_REJECT        ASK          BASIC        [N]        [ - ]      -
CHITCHAT_OR_REJECT        ASK          CHECKUP      [N]        [ - ]      -
CHITCHAT_OR_REJECT        ASK          VISIT        [N]        [ - ]      -
CHITCHAT_OR_REJECT        ASK          PREVENT      [N]        [ - ]      -
CHITCHAT_OR_REJECT        ASK          DIAGNOSE     [N]        [ - ]      -
CHITCHAT_OR_REJECT        ASK          CAUTION      [N]        [ - ]      -
CHITCHAT_OR_REJECT        CONFIRM      CAUSE        [N]        [ - ]      -
CHITCHAT_OR_REJECT        CONFIRM      SYMPTOM      [N]        [ - ]      -
CHITCHAT_OR_REJECT        CONFIRM      BASIC        [N]        [ - ]      -
CHITCHAT_OR_REJECT        CONFIRM      CHECKUP      [N]        [ - ]      -
CHITCHAT_OR_REJECT        CONFIRM      VISIT        [N]        [ - ]      -
CHITCHAT_OR_REJECT        CONFIRM      PREVENT      [N]        [ - ]      -
CHITCHAT_OR_REJECT        CONFIRM      DIAGNOSE     [N]        [ - ]      -
CHITCHAT_OR_REJECT        CONFIRM      CAUTION      [N]        [ - ]      -
CHITCHAT_OR_REJECT        SEEK_HELP    CAUSE        [N]        [ - ]      -
CHITCHAT_OR_REJECT        SEEK_HELP    SYMPTOM      [N]        [ - ]      -
